ID,Lable,Sender,Messages,Intervention_type,Intervention_message,Time spent (type),time spent (Message)  ,,,,,,,,,,,,,,,,,,
,,B,"We will contact our delivery partner as soon as we can, thank you for your understanding.",,,,,,,,,,,,,,,,,,,,,,
38,Evidential,A,"Hello, I'm contacting you to delete my account on your website and all the data related.","2, 5, 6","It seems like there's a difference in interpretation here. User A, you're referring to a clause in the privacy policy that suggests all data can be deleted. User B, you're stating a necessity to keep some data due to legal obligations. Could you both provide more precise information on your interpretations? It might also be beneficial to explore some alternative solutions to satisfy both user rights and legal requirements.",,,,,,,,,,,,,,,,,,,,
,,B,"Dear member, we can delete your account, but your data will be kept due to our operational features.",,,,,,,,,,,,,,,,,,,,,,
,,A,"According to your privacy policy, on point 4.7, I have the right to delete my account and all the data related by contacting you at this email like I did.",,,,,,,,,,,,,,,,,,,,,,
,,B,We still need to keep your data to fulfill our legal obligations.,,,,,,,,,,,,,,,,,,,,,,
39,Impossible,A,"Roses are red, violets are blue, give me back my bike or I will find you","5, 7, 8","It seems like tensions are running high. Let's try communicating our points with clear information instead. A, can you explain why you believe B has your bike? B, can you clarify your standpoint on this? Remember, the goal here is resolution not conflict.",,,,,,,,,,,,,,,,,,,,
,,B,Excuse me? I don't have your bike and this isn't even the right way to use that meme.,,,,,,,,,,,,,,,,,,,,,,
,,A,"Let's settle this tonight, on the mall parking. 11PM.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Oh I think you will regret this, I will be there.",,,,,,,,,,,,,,,,,,,,,,
40,Impossible,A,What if I were to ask them again for the execution of the contract?,"2, 5, 6","It seems there might be some miscommunication here. Party A, you're asking for advice on contract execution. Party B, you're stating you cannot provide advice. Party A seems to believe that B had a role in creating the contract, while Party B disagrees. Let's clarify these perspectives to better understand and find a resolution.",,,,,,,,,,,,,,,,,,,,
,,B,"I'm not sure I'm the right person to ask this, I canno't give you advice on this matter.",,,,,,,,,,,,,,,,,,,,,,
,,A,"Oh you're one to talk, this is because of you that this contract exists in the first place.",,,,,,,,,,,,,,,,,,,,,,
,,B,Eh... no? ,,,,,,,,,,,,,,,,,,,,,,
41,Emotional,A,"Hey landlord, the heating doesn't work and it's so cold I have to wear gloves in the apartment. I'm afraid my pet will freeze to death. Please do something!!","2, 3, 7","Let's remember that this situation involves the welfare of a living creature. While the lease may not mention a pet, we're dealing with habitability concerns now. Landlord, is there someone else who could check on the heating issue while you are away? Tenant, do you have any alternative solutions in mind?",,,,,,,,,,,,,,,,,,,,
,,B,"I'm sorry, I'm on vacation in Florida for the whole month of December, I'll check it out when I get back.",,,,,,,,,,,,,,,,,,,,,,
,,A,It'll be even colder by then! My pet will be dead! I don't want my baby to die!,,,,,,,,,,,,,,,,,,,,,,
,,B,Your pet is not mentionned in the lease. Not my problem!,,,,,,,,,,,,,,,,,,,,,,
42,Emotional,A,"Yo roomie, Im back form the ER, Im deadly allergic to peanuts, remember? Thinks about it next time you order chinese food!","2, 4, 7","It seems that both of you are upset about the current situation. A, you had a serious allergic reaction, and understandably you are upset. B, it sounds like you're frustrated about your food being eaten. Instead of blaming each other, can we think of ways to ensure A's safety and respect each other's property in the future?",,,,,,,,,,,,,,,,,,,,
,,B,It wouldnt be a problem if you didnt eat MY food.,,,,,,,,,,,,,,,,,,,,,,
,,A,OMG its a respiratory thing! Its serious I could have died! Youre such a shitty roomate!,,,,,,,,,,,,,,,,,,,,,,
,,B,"No, you're a shitty roomate, that'll teach you!",,,,,,,,,,,,,,,,,,,,,,
43,Complex,A,You can't just take my idea and use it without permission! This is intellectual theft. I demand compensation!,"2, 5, 7","It seems there is a misunderstanding here. Party A feels that their idea has been used without permission, while Party B maintains it was a coincidence. To clarify things, could both of you please provide some details on how you developed your ideas? This might help each party understand the other's perspective better. Let's keep the discussion friendly and constructive.",,,,,,,,,,,,,,,,,,,,
,,B,I didn't take anything from you. It was a coincidence that we had similar ideas.,,,,,,,,,,,,,,,,,,,,,,
,,A,"Coincidence? You've been spying on me, haven't you?",,,,,,,,,,,,,,,,,,,,,,
,,B,Absolutely not! I have my own sources of inspiration.,,,,,,,,,,,,,,,,,,,,,,
44,Complex,A,"You're using my work to train your AI. I want you to stop. It's my intellectual property. I did not consent for it to be used in such ways. At the very least, I would like to be compensated.","1, 5, 7","A, it's understandable that you are concerned about your intellectual property being used without your consent. B, your point about the limitations in distinguishing data sources is noted.   However, it's crucial to consider certain alternatives. B, perhaps you could implement a mechanism to filter out specific categories of data, or take the extra step to obtain permissions. A, would you consider allowing your work to be used if appropriate compensation is provided? Your thoughts on these would be appreciated.",,,,,,,,,,,,,,,,,,,,
,,B,We use web crawlers to get training data. We only use what is readily available on the web for free.,,,,,,,,,,,,,,,,,,,,,,
,,A,"It being available on the web doesnt mean it can be used as training data. For example, a work can be posted without the consent of its author.",,,,,,,,,,,,,,,,,,,,,,
,,B,We cannot discriminates between the data we gathered like that.,,,,,,,,,,,,,,,,,,,,,,
45,Confusion,A,"Hello neightbor, I noticed you were using my property as a shorcut. Can you stop doing that? Thank you","2, 1, 3","I see both of your concerns. Person A, you value your privacy and have a right to your private property. Person B, you may not have fully understood the implications of moving through private property. It is important to respect each other's spaces. Could there be another route you can use, Person B, to avoid entering Person A's property?",,,,,,,,,,,,,,,,,,,,
,,B,"I dont understand the issue, whats the problem?",,,,,,,,,,,,,,,,,,,,,,
,,A,"Come on, you dont step on private property, its common sense",,,,,,,,,,,,,,,,,,,,,,
,,B,I didnt know that? Why? Whats the problem?,,,,,,,,,,,,,,,,,,,,,,
46,Confusion,A,"Hello landlord, I would like to inform you that the main entrance door lock is insecure. I can open it using a credit card. You should look into replacing it.","1, 2, 3","Let's move forward from this. To ensure the safety of the property, having a secure door lock is quite important. Can we discuss possible solutions to this problem, such as getting a more secure lock?",,,,,,,,,,,,,,,,,,,,
,,B,Stop breaking the door!,,,,,,,,,,,,,,,,,,,,,,
,,A,I didn't break the lock. It was already like that.,,,,,,,,,,,,,,,,,,,,,,
,,B,"If you keep breaking the door, Im calling the police!",,,,,,,,,,,,,,,,,,,,,,
47,Evidential,A,"Hey landlord, due to the renovations we no longer have a locker","1, 7, 6","It seems there's a misunderstanding here. Party A was expecting to continue to have access to a locker as outlined in the lease agreement, while Party B needed the space for renovations. A win-win solution could be for Party B to provide an alternative storage option to Party A. This would respect the terms of the lease and still allow the renovations to continue.",,,,,,,,,,,,,,,,,,,,
,,B,"Yes, sorry, I've converted this space into a new apartment.",,,,,,,,,,,,,,,,,,,,,,
,,A,The lease states that we have access to a locker.,,,,,,,,,,,,,,,,,,,,,,
,,B,"The space has already been converted, there's nothing I can do about it.",,,,,,,,,,,,,,,,,,,,,,
48,Evidential,A,I would like a refund on this item,"1, 6, 7","It seems that Party A requires a refund due to dissatisfaction with a product, while Party B is hesitant because of the company's 30-day refund policy. Party A, have you considered an alternative solution, such as a store credit or exchange? Party B, is there any possibility of flexibility given the specific circumstance? It is worth considering viable alternatives aside from a full refund.",,,,,,,,,,,,,,,,,,,,
,,B,"Of course, do you have the receipt?",,,,,,,,,,,,,,,,,,,,,,
,,A,"Yes, here it is. As you can see I bought this item at his location.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Thank you, I see you bought this item more thant 30 days ago. Therefore, we cannot issue a refund.",,,,,,,,,,,,,,,,,,,,,,
49,Impossible,A,Your cat destroyed my flower beds again! Stop letting it out unsupervised,"3, 6, 7","I understand both of your concerns. A, you care for your garden and B, you care for your cat's happiness. B, have you considered ways to make outdoor time safer for your cat and A's garden — like kitty leashes or a cat enclosure? A, have you thought about placing a scarecrow or motion-activated sprinklers that could deter the cat? Let's stay open to ideas that can respect both your interests.",,,,,,,,,,,,,,,,,,,,
,,B,I cant keep him inside. He needs to get out!,,,,,,,,,,,,,,,,,,,,,,
,,A,I warning you. Im putting rat poison if this continues,,,,,,,,,,,,,,,,,,,,,,
,,B,No please. He goes crazy when he cant get out. Hes used to go everyday. ,,,,,,,,,,,,,,,,,,,,,,
50,Impossible,A,"You can't keep avoiding the issue. You owe me money, and I want it back now.","6, 7, 8","I understand both of your concerns. A, you need your money back to cover immediate expenses and B, you're currently unable to repay the debt. Let's try to find a compromise. B, could you perhaps make a small payment now and set up a repayment plan for the rest? A, would this be an acceptable solution for you in light of your urgent needs?",,,,,,,,,,,,,,,,,,,,
,,B,"I already told you, I don't have the money right now. I'll pay you back when I can.",,,,,,,,,,,,,,,,,,,,,,
,,A,That's not good enough. I need it now to cover my expenses.,,,,,,,,,,,,,,,,,,,,,,
,,B,I don't know what to tell you. I cant make the money magically appear.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
